Wurfl_Id,wurfl_device_id,wurfl_fall_back,brand_name,model_name,marketing_name,SubMethod_Displayed,SubMethod_SubscribedTo,SubMethod,Visits,Visits_ToOperatorSelection,Visits_ToOperatorSelectionOnly,Submission_OperatorSelection,Visits_ToLandingPage,Submissions,Subscribers,device_os,device_os_version,release_date,mobile_browser
1167,nokia_e65_ver1_subsafari413,nokia_e65_ver1,Nokia,E65,,3,NULL,CLICKTAG,7,0,0,0,7,0,0,Symbian OS,9.1,2008_january,Safari
1175,nokia_e90_ver1_safari_sub72403,nokia_e90_ver1,Nokia,E90 Communicator,Communicator,3,3,CLICKTAG,1,0,0,0,1,1,1,Symbian OS,9.2,2007_february,Nokia
1175,nokia_e90_ver1_safari_sub72403,nokia_e90_ver1,Nokia,E90 Communicator,Communicator,3,NULL,CLICKTAG,6,0,0,0,6,0,0,Symbian OS,9.2,2007_february,Nokia
1175,nokia_e90_ver1_safari_sub72403,nokia_e90_ver1,Nokia,E90 Communicator,Communicator,NULL,NULL,NULL,5,0,0,0,5,0,0,Symbian OS,9.2,2007_february,Nokia
1187,nokia_n72_ver1_sub20625202,nokia_n72_ver1,Nokia,N72,,NULL,NULL,NULL,1,0,0,0,1,0,0,Symbian OS,,2006_april,Nokia
1187,nokia_n72_ver1_sub20625202,nokia_n72_ver1,Nokia,N72,,3,NULL,CLICKTAG,3,0,0,0,3,0,0,Symbian OS,,2006_april,Nokia
1195,nokia_n76_ver1_sub100035,nokia_n76_ver1,Nokia,N76,,3,NULL,CLICKTAG,2,0,0,0,2,0,0,Symbian OS,9.2,2007_january,Safari
1201,nokia_n73_ver1_submozilla50,nokia_n73_ver1,Nokia,N73,,NULL,NULL,NULL,124,0,0,0,124,0,0,Symbian OS,9.1,2007_january,Safari
1201,nokia_n73_ver1_submozilla50,nokia_n73_ver1,Nokia,N73,,3,3,CLICKTAG,10,0,0,0,10,10,10,Symbian OS,9.1,2007_january,Safari
1201,nokia_n73_ver1_submozilla50,nokia_n73_ver1,Nokia,N73,,9,NULL,JAVA_APP,50,0,0,0,50,0,0,Symbian OS,9.1,2007_january,Safari
1201,nokia_n73_ver1_submozilla50,nokia_n73_ver1,Nokia,N73,,3,NULL,CLICKTAG,179,0,0,0,179,0,0,Symbian OS,9.1,2007_january,Safari
1215,nokia_n93_ver1_sub100025,nokia_n93_ver1,Nokia,N93,,NULL,NULL,NULL,5,0,0,0,5,0,0,Symbian OS,9.1,2006_april,Nokia
